scenario_code,time_s,link_id,travel_time,speed,volume,queue_delay,veh_delay,stops,occupancy,queue_length,max_queue_length,event_active,event_exposure,event_intensity,lanes_blocked,tt_missing_flag,speed_missing_flag,volume_missing_flag,event_link,,,,
SC0011,600-900,L1,23.91,42.72,67,1.75,4.71,0.16,0.0534,0,0,1,1,0.075,0,0,0,0,L1,,,,
SC0011,600-900,L3,42.74,28.64,17,29.19,13.84,0.33,0.0259,0,0,1,0.368,0.075,0,0,0,0,L1,,,,
SC0011,600-900,L6,30.19,10.55,6,52.19,2.93,0,0.1051,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0011,600-900,L13,21.26,66.67,133,1.38,6.21,0.24,0.0691,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0011,600-900,L16,49.88,32.17,27,11.2,16.11,0.32,0.4804,0.08,13.3,1,0.607,0.075,0,0,0,0,L1,,,,
SC0011,600-900,L17,51.43,41.84,81,40.08,28.8,0.45,0.3773,0,0,1,0.135,0.075,0,0,0,0,L1,,,,
SC0011,600-900,L18,19.64,60.98,34,39.74,1.11,0,0.0194,0,0,1,0.607,0.075,0,0,0,0,L1,,,,
SC0011,900-1200,L1,55.51,40.32,60,13.93,34.98,0.64,0.0554,0,0,1,1,0.075,0,0,0,0,L1,,,,
SC0011,900-1200,L3,101.86,33.6,33,141.48,72.62,0.91,0.5726,0.28,20.59,1,0.368,0.075,0,0,0,0,L1,,,,
SC0011,900-1200,L6,195.41,8.77,12,260.55,167.51,2.42,0.474,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0011,900-1200,L13,34.81,61.19,178,47.65,19.04,0.78,0.101,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0011,900-1200,L16,101.61,31.36,66,173.04,66.3,0.95,0.5667,82.82,239.85,1,0.607,0.075,0,0,0,0,L1,,,,
SC0011,900-1200,L17,129.2,35.15,108,122.8,106.25,1.94,0.7073,0,0,1,0.135,0.075,0,0,0,0,L1,,,,
SC0011,900-1200,L18,22.18,52.37,76,139.79,1.8,0,0.0591,0,0,1,0.607,0.075,0,0,0,0,L1,,,,
SC0011,1200-1500,L1,55.06,53.8,123,22.54,36.09,0.69,0.0837,0,0,0,1,0.075,0,0,0,0,L1,,,,
SC0011,1200-1500,L3,190.4,34.85,39,317.79,160.04,1.79,0.8083,0,0,0,0.368,0.075,0,0,0,0,L1,,,,
SC0011,1200-1500,L6,353.12,16.47,26,438.6,323.3,5.26,0.5961,350.52,507.71,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,1200-1500,L13,177.6,38.48,114,131.96,161.5,4.69,0.5129,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,1200-1500,L16,73.28,22.4,46,287.89,34.15,0.79,0.3835,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,1200-1500,L17,202.32,35.65,131,221.25,177.1,4.49,0.6928,198.72,371.42,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,1200-1500,L18,24.19,47.04,63,308.08,2.26,0,0.0594,502.38,504.57,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,1500-1800,L1,149.48,45.83,102,99.24,132.4,2.23,0.2381,0,0,0,1,0.075,0,0,0,0,L1,,,,
SC0011,1500-1800,L3,281.91,33.93,36,459.23,249.76,4,0.4144,101.88,172.78,0,0.368,0.075,0,0,0,0,L1,,,,
SC0011,1500-1800,L6,567.08,6.9,17,756.37,541.51,10.31,0.6399,455.48,463.42,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,1500-1800,L13,140.81,24.93,165,286.39,124.79,4.41,0.5208,171.1,237.92,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,1500-1800,L16,186.88,21.71,60,491.67,147.63,1.74,0.4915,366.2,376.15,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,1500-1800,L17,177.4,33.39,120,288.07,153.54,2.7,0.7993,501.31,504.94,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,1500-1800,L18,28.04,42.58,73,458.87,3.71,0,0.0814,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,1800-2100,L1,196.8,46.43,6,352.79,178.27,3.61,0.006,0,0,0,1,0.075,0,0,0,0,L1,,,,
SC0011,1800-2100,L3,374.37,34.23,38,616.3,346.11,5.3,0.4088,0,0,0,0.368,0.075,0,0,0,0,L1,,,,
SC0011,1800-2100,L6,845.57,12.52,19,1075.36,817.01,15.79,0.9122,485.09,502.61,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,1800-2100,L13,109.76,30.31,65,487.85,91.91,4.36,0.1416,71.51,184.9,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,1800-2100,L16,170.72,25.98,54,633.86,129.98,1.63,0.6931,486.82,504.09,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,1800-2100,L17,196.4,41.23,129,459.83,175.06,3.24,0.7327,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,1800-2100,L18,28.31,44.26,80,587.32,4.79,0,0.0805,78.21,125.88,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,2100-2400,L1,15.03,,0,,0,0,0,256.85,264.96,0,1,0.075,0,0,1,1,L1,,,,
SC0011,2100-2400,L3,454.9,35.77,39,794.02,426.37,9.79,0.8094,352.26,512.1,0,0.368,0.075,0,0,0,0,L1,,,,
SC0011,2100-2400,L6,871.48,32.28,42,1216.13,844.36,17.37,0.9965,47.97,110.3,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2100-2400,L13,21.87,49.34,15,735.84,0.81,0,0.0196,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2100-2400,L16,103.74,24.28,18,857.28,64.5,0.67,0.4155,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,2100-2400,L17,184.33,38.56,54,563.11,161.57,2.6,0.1181,15.97,61.53,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,2100-2400,L18,29.72,43.86,50,769.08,5.95,0,0.0615,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L1,,,0,,,,0,0,0,0,1,0.075,0,1,1,1,L1,,,,
SC0011,2400-2700,L3,305.68,35.74,32,927.31,276.6,5.56,0.79,451.65,461.4,0,0.368,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L6,952.56,21.82,40,1362.61,922.62,20.85,0.5748,93.5,267.56,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L13,23.16,44.51,21,904.36,1.63,0,0.0171,410.17,414.32,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L16,44.16,30.86,26,1056.14,9.87,0,0.0516,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L17,36.38,19.79,3,986.3,0.05,0,0.0493,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
