Frame,DensityPercentage
14,2.62
15,2.59
16,2.6
17,2.56
18,2.57
19,2.61
20,2.67
21,2.66
22,2.63
23,2.67
24,2.66
25,2.64
26,2.61
27,2.58
28,2.59
29,2.57
30,2.58
31,2.61
32,2.66
33,2.6
34,2.63
35,2.67
36,2.65
37,2.63
38,2.58
39,2.6
40,2.6
41,2.59
42,2.63
43,2.66
44,2.64
45,2.61
46,2.58
47,2.56
48,2.58
49,2.59
50,2.62
51,2.66
52,2.62
53,2.59
54,2.55
55,2.56
56,2.57
57,2.58
58,2.64
59,2.66
60,2.63
61,2.6
62,2.58
63,2.57
64,2.57
65,2.61
66,2.65
67,2.64
68,2.59
69,2.58
70,2.57
71,2.57
72,2.58
73,2.57
74,2.6
75,2.65
76,2.64
77,2.58
78,2.56
79,2.55
80,2.57
81,2.57
82,2.56
83,2.59
84,2.65
85,2.65
86,2.63
87,2.6
88,2.59
89,2.6
90,2.66
91,2.64
92,2.59
93,2.58
94,2.56
95,2.58
96,2.59
97,2.64
98,2.66
99,2.65
100,2.68
101,2.63
102,2.63
103,2.61
104,2.64
105,2.68
106,2.71
107,2.7
108,2.7
109,2.65
110,2.63
111,2.59
112,2.62
113,2.64
114,2.63
115,2.66
116,2.61
117,2.66
118,2.7
119,2.69
120,2.7
121,2.69
122,2.63
123,2.62
124,2.61
125,2.62
126,2.65
127,2.7
128,2.71
129,2.7
130,2.68
131,2.62
132,2.61
133,2.62
134,2.62
135,2.65
136,2.75
137,2.7
138,2.67
139,2.62
140,2.62
141,2.62
142,2.64
143,2.63
144,2.67
145,2.97
146,2.52
147,2.65
148,2.68
149,2.65
150,2.62
151,2.61
152,2.63
153,2.63
154,2.65
155,2.7
156,2.7
157,2.68
158,2.67
159,2.66
160,2.64
161,2.64
162,2.63
163,2.63
164,2.6
165,2.63
166,2.65
167,2.69
168,2.68
169,2.66
170,2.66
171,2.63
172,2.66
173,2.65
174,2.61
175,2.6
176,2.58
177,2.57
178,2.58
179,2.58
180,2.58
181,2.61
182,2.64
183,2.62
184,3.51,2025-07-22 17:22:03,37
185,3.51,2025-07-22 17:22:03,38
186,3.51,2025-07-22 17:22:03,38
187,3.51,2025-07-22 17:22:03,38
188,3.51,2025-07-22 17:22:03,38
189,3.51,2025-07-22 17:22:08,38
190,3.52,2025-07-22 17:22:08,39
191,3.52,2025-07-22 17:22:08,39
192,3.53,2025-07-22 17:22:08,39
193,3.53,2025-07-22 17:22:08,39
194,3.52,2025-07-22 17:22:14,39
195,3.53,2025-07-22 17:22:14,40
196,3.54,2025-07-22 17:22:14,40
197,3.53,2025-07-22 17:22:14,40
198,3.54,2025-07-22 17:22:14,40
199,3.56,2025-07-22 17:22:19,40
200,3.63,2025-07-22 17:22:19,41
201,3.59,2025-07-22 17:22:19,41
202,3.58,2025-07-22 17:22:19,41
203,3.58,2025-07-22 17:22:19,41
204,3.59,2025-07-22 17:22:24,41
205,3.6,2025-07-22 17:22:24,42
206,3.6,2025-07-22 17:22:24,42
207,3.59,2025-07-22 17:22:24,42
208,3.61,2025-07-22 17:22:24,42
209,3.62,2025-07-22 17:22:30,42
210,3.6,2025-07-22 17:22:30,43
211,3.6,2025-07-22 17:22:30,43
212,3.6,2025-07-22 17:22:30,43
213,3.62,2025-07-22 17:22:30,43
214,3.61,2025-07-22 17:22:37,43
215,3.62,2025-07-22 17:22:37,44
216,3.62,2025-07-22 17:22:37,44
217,3.62,2025-07-22 17:22:37,44
218,3.6,2025-07-22 17:22:37,44
219,3.61,2025-07-22 17:22:40,44
220,3.61,2025-07-22 17:22:40,45
221,3.61,2025-07-22 17:22:40,45
222,3.6,2025-07-22 17:22:40,45
223,3.6,2025-07-22 17:22:40,45
224,3.61,2025-07-22 17:22:45,45
225,3.63,2025-07-22 17:22:45,46
226,3.63,2025-07-22 17:22:45,46
227,3.61,2025-07-22 17:22:45,46
228,3.63,2025-07-22 17:22:45,46
229,3.61,2025-07-22 17:22:51,46
230,3.6,2025-07-22 17:22:51,47
231,3.61,2025-07-22 17:22:51,47
232,3.6,2025-07-22 17:22:51,47
233,3.62,2025-07-22 17:22:51,47
234,3.6,2025-07-22 17:22:56,47
235,3.61,2025-07-22 17:22:56,48
236,3.61,2025-07-22 17:22:56,48
237,3.6,2025-07-22 17:22:56,48
238,3.61,2025-07-22 17:22:56,48
239,3.62,2025-07-22 17:23:01,48
240,3.61,2025-07-22 17:23:01,49
241,3.6,2025-07-22 17:23:01,49
242,3.62,2025-07-22 17:23:01,49
243,3.6,2025-07-22 17:23:01,49
244,3.59,2025-07-22 17:23:07,49
245,3.61,2025-07-22 17:23:07,50
246,3.6,2025-07-22 17:23:07,50
247,3.61,2025-07-22 17:23:07,50
248,3.6,2025-07-22 17:23:07,50
249,3.61,2025-07-22 17:23:12,50
250,3.6,2025-07-22 17:23:12,51
251,3.6,2025-07-22 17:23:12,51
252,3.6,2025-07-22 17:23:12,51
253,3.61,2025-07-22 17:23:12,51
254,3.6,2025-07-22 17:23:17,51
255,3.61,2025-07-22 17:23:17,52
256,3.6,2025-07-22 17:23:17,52
257,3.6,2025-07-22 17:23:17,52
258,3.61,2025-07-22 17:23:17,52
259,3.6,2025-07-22 17:23:22,52
260,3.62,2025-07-22 17:23:22,53
261,3.6,2025-07-22 17:23:22,53
262,3.6,2025-07-22 17:23:22,53
263,3.6,2025-07-22 17:23:22,53
264,3.6,2025-07-22 17:23:28,53
265,3.6,2025-07-22 17:23:28,54
266,3.6,2025-07-22 17:23:28,54
267,3.59,2025-07-22 17:23:28,54
268,3.8,2025-07-22 17:23:28,54
269,3.62,2025-07-22 17:24:56,54
270,5.07,2025-07-22 17:24:56,55
271,4.16,2025-07-22 17:24:56,55
272,4.24,2025-07-22 17:24:56,55
273,2.43,2025-07-22 17:26:43,55
274,2.37,2025-07-22 17:26:43,55
275,2.38,2025-07-22 17:26:43,56
276,2.42,2025-07-22 17:26:43,56
277,2.41,2025-07-22 17:26:43,56
278,2.39,2025-07-22 17:26:49,56
279,2.4,2025-07-22 17:26:49,56
280,2.41,2025-07-22 17:26:49,57
281,2.41,2025-07-22 17:26:49,57
282,2.44,2025-07-22 17:26:49,57
283,2.36,2025-07-22 17:26:54,57
284,2.51,2025-07-22 17:26:54,57
285,2.82,2025-07-22 17:26:54,58
286,3.78,2025-07-22 17:26:54,58
287,1.13,2025-07-22 17:26:54,58
288,2.4,2025-07-22 17:27:00,58
289,1.42,2025-07-22 17:27:00,58
290,2.93,2025-07-22 17:27:00,59
291,3.07,2025-07-22 17:27:00,59
292,2.81,2025-07-22 17:27:00,59
293,2.7,2025-07-22 17:27:05,59
294,2.71,2025-07-22 17:27:05,59
295,2.7,2025-07-22 17:27:05,60
296,2.72,2025-07-22 17:27:05,60
