prediction_horizon_sec,link,queue_true,queue_pred,delay_true,delay_pred,prediction_horizon_min,severity_index,severity_level,recommended_strategy
0,L19,0.0,0.005173467,0.0010289225,-0.00068917125,0.0,6.969281,LOW,Monitor Traffic Conditions
0,L13,0.0,0.005665578,0.0016898362,-0.0019681007,0.0,6.9350576,LOW,Monitor Traffic Conditions
0,L6,0.5026995,0.30340323,0.59751856,0.36852926,0.0,54.668743,HIGH,Diversion Route + Signal Retiming
0,L17,0.0,0.0053520277,0.0002253115,0.0017159358,0.0,7.1284695,LOW,Monitor Traffic Conditions
0,L18,0.0,-0.0010607243,0.0017949815,0.00367371,0.0,6.694743,LOW,Monitor Traffic Conditions
0,L1,0.0,0.014528491,0.00046564377,0.010499962,0.0,8.442056,LOW,Monitor Traffic Conditions
0,L16,0.017010719,0.06475749,0.052550152,0.033338357,0.0,14.122433,LOW,Monitor Traffic Conditions
0,L3,0.0,0.017928421,0.36402828,0.17739223,0.0,18.71599,LOW,Monitor Traffic Conditions
5,L19,0.0,0.005709924,0.002433364,-0.00012202561,0.08333333333333333,7.049281,LOW,Monitor Traffic Conditions
5,L13,0.0,0.004827149,0.00087871484,2.3759902e-05,0.08333333333333333,6.9821754,LOW,Monitor Traffic Conditions
5,L6,0.51290196,0.32456908,0.51114917,0.47761092,0.08333333333333333,63.01099,HIGH,Diversion Route + Signal Retiming
5,L17,0.0,0.0044308007,3.7551916e-05,0.003418073,0.08333333333333333,7.1511464,LOW,Monitor Traffic Conditions
5,L18,0.0,5.698949e-05,0.0023807914,0.003828384,0.08333333333333333,6.8,LOW,Monitor Traffic Conditions
5,L1,0.0,0.007323779,0.011310637,0.0037647635,0.08333333333333333,7.420374,LOW,Monitor Traffic Conditions
5,L16,0.0,0.009592302,0.0056703393,0.011831276,0.08333333333333333,8.097689,LOW,Monitor Traffic Conditions
5,L3,0.0,0.019617438,0.1532043,0.14848277,0.08333333333333333,17.131979,LOW,Monitor Traffic Conditions
10,L19,0.0,0.0028955638,0.0025610407,0.003893651,0.16666666666666666,7.047722,LOW,Monitor Traffic Conditions
10,L13,0.0,0.0029244125,0.0008937356,0.003413871,0.16666666666666666,7.0215044,LOW,Monitor Traffic Conditions
10,L6,0.49686384,0.33571523,0.5847659,0.4641197,0.16666666666666666,63.16147,HIGH,Diversion Route + Signal Retiming
10,L17,0.0,0.0028691217,0.00073601754,0.007155232,0.16666666666666666,7.240528,LOW,Monitor Traffic Conditions
10,L18,0.0,0.0011544675,0.002433364,0.0043650195,0.16666666666666666,6.926364,LOW,Monitor Traffic Conditions
10,L1,0.0,0.008362263,0.0,0.0059196353,0.16666666666666666,7.638457,LOW,Monitor Traffic Conditions
10,L16,0.0,0.0043043047,0.0067293034,0.0134135,0.16666666666666666,7.738112,LOW,Monitor Traffic Conditions
10,L3,0.0,0.018653788,0.011363209,0.031616844,0.16666666666666666,10.059406,LOW,Monitor Traffic Conditions
15,L19,0.0,0.0017772391,0.0029741118,0.009099558,0.25,7.2630315,LOW,Monitor Traffic Conditions
